Index,Epochs,Batch Size,Learning Rate,Momentum,Hidden Layer Index,Accuracy,Macro F1,Micro F1
15,32,16,0.01,0,7,0.5152027027027027,0.5123852381622034,0.5152027027027027
16,32,16,0.01,0,7,0.5476190476190477,0.35384615384615387,0.5476190476190477
17,32,16,0.01,0,7,0.5669856459330144,0.4367457546362127,0.5669856459330144
18,32,16,0.01,0,7,0.4152542372881356,0.4135648833580089,0.4152542372881356
19,32,16,0.01,0,7,0.5276872964169381,0.47162577597360206,0.5276872964169381
20,32,16,0.01,0,7,0.5697674418604651,0.5300546448087431,0.5697674418604651
0,32,16,0.01,0,8,0.4722814498933902,0.36669599197986785,0.4722814498933902
1,32,16,0.01,0,8,0.5437100213219617,0.5161148796868145,0.5437100213219617
2,32,16,0.01,0,8,0.535181236673774,0.38286493794968374,0.535181236673774
3,32,16,0.01,0,8,0.5170575692963753,0.3966715084703166,0.5170575692963753
4,32,16,0.01,0,8,0.5255863539445629,0.5059505844059772,0.5255863539445629
5,32,16,0.01,0,8,0.5261472785485592,0.36410491562729275,0.5261472785485592
6,32,16,0.01,0,8,0.48068669527896996,0.4241625816993464,0.48068669527896996
7,32,16,0.01,0,8,0.5161987041036717,0.5159254695493074,0.5161987041036717
8,32,16,0.01,0,8,0.5456521739130434,0.4027644044106228,0.5456521739130434
9,32,16,0.01,0,8,0.5348837209302325,0.39930436765879807,0.5348837209302325
10,32,16,0.01,0,8,0.5022573363431151,0.4763698643905616,0.5022573363431151
11,32,16,0.01,0,8,0.5344827586206896,0.3830748731919901,0.5344827586206896
12,32,16,0.01,0,8,0.4842105263157895,0.4784313725490196,0.4842105263157895
13,32,16,0.01,0,8,0.4826666666666667,0.46998783339768757,0.4826666666666667
14,32,16,0.01,0,8,0.5359281437125748,0.46974352671255326,0.5359281437125748
15,32,16,0.01,0,8,0.5557432432432432,0.43350106789793297,0.5557432432432432
16,32,16,0.01,0,8,0.5158730158730159,0.4044515041744959,0.5158730158730159
17,32,16,0.01,0,8,0.5358851674641149,0.4791109969167523,0.5358851674641149
18,32,16,0.01,0,8,0.4463276836158192,0.4460447737361479,0.4463276836158192
19,32,16,0.01,0,8,0.5602605863192183,0.5389518649950497,0.5602605863192183
20,32,16,0.01,0,8,0.5697674418604651,0.4583829787234042,0.5697674418604651
0,32,16,0.01,0,9,0.5106609808102346,0.49424339496971037,0.5106609808102346
1,32,16,0.01,0,9,0.5405117270788913,0.43649529225644135,0.5405117270788913
2,32,16,0.01,0,9,0.5298507462686567,0.47901687038331475,0.5298507462686567
3,32,16,0.01,0,9,0.5170575692963753,0.4204308775088487,0.5170575692963753
4,32,16,0.01,0,9,0.4861407249466951,0.48416849215041985,0.4861407249466951
5,32,16,0.01,0,9,0.5432230522945571,0.526714061821409,0.5432230522945571
6,32,16,0.01,0,9,0.5450643776824035,0.4291327662721893,0.5450643776824035
7,32,16,0.01,0,9,0.5453563714902808,0.3938084953203744,0.5453563714902808
8,32,16,0.01,0,9,0.5369565217391304,0.4105792541704014,0.5369565217391304
9,32,16,0.01,0,9,0.53156146179402,0.4972193446735807,0.53156146179402
10,32,16,0.01,0,9,0.5406320541760722,0.4515950951034679,0.5406320541760722
11,32,16,0.01,0,9,0.5436781609195402,0.4608495845424504,0.5436781609195402
12,32,16,0.01,0,9,0.5415204678362573,0.4187062937062937,0.5415204678362573
13,32,16,0.01,0,9,0.524,0.5217887511854817,0.524
14,32,16,0.01,0,9,0.4550898203592814,0.4014336917562724,0.4550898203592814
15,32,16,0.01,0,9,0.48817567567567566,0.43793065630532535,0.48817567567567566
16,32,16,0.01,0,9,0.4880952380952381,0.47486430602222796,0.4880952380952381
17,32,16,0.01,0,9,0.5861244019138756,0.5547249742923468,0.5861244019138756
18,32,16,0.01,0,9,0.5254237288135594,0.47263505125385735,0.5254237288135594
19,32,16,0.01,0,9,0.5309446254071661,0.44800719208870243,0.5309446254071661
20,32,16,0.01,0,9,0.5310077519379846,0.4147246855021654,0.5310077519379846
0,32,16,0.01,0,10,0.5223880597014925,0.4638249224236486,0.5223880597014925
1,32,16,0.01,0,10,0.5330490405117271,0.5330490405117271,0.5330490405117271
2,32,16,0.01,0,10,0.48507462686567165,0.456521504428282,0.48507462686567165
3,32,16,0.01,0,10,0.5266524520255863,0.48919698575297305,0.5266524520255863
4,32,16,0.01,0,10,0.5373134328358209,0.5013205282112845,0.5373134328358209
5,32,16,0.01,0,10,0.5272145144076841,0.4083390229613908,0.5272145144076841
6,32,16,0.01,0,10,0.5214592274678111,0.5190473325403694,0.5214592274678111
7,32,16,0.01,0,10,0.509719222462203,0.5097169353634872,0.509719222462203
8,32,16,0.01,0,10,0.5217391304347826,0.4964948679294098,0.5217391304347826
9,32,16,0.01,0,10,0.5415282392026578,0.3681686046511628,0.5415282392026578
10,32,16,0.01,0,10,0.5417607223476298,0.41056446961354937,0.5417607223476298
11,32,16,0.01,0,10,0.5298850574712644,0.3825343802871893,0.5298850574712644
12,32,16,0.01,0,10,0.5286549707602339,0.38061409201133917,0.5286549707602339
13,32,16,0.01,0,10,0.468,0.37218216263052,0.468
14,32,16,0.01,0,10,0.5538922155688623,0.40754761904761905,0.5538922155688623
15,32,16,0.01,0,10,0.44594594594594594,0.4371514371514371,0.44594594594594594
16,32,16,0.01,0,10,0.5376984126984127,0.499639958243678,0.5376984126984127
17,32,16,0.01,0,10,0.569377990430622,0.5691313908741067,0.569377990430622
18,32,16,0.01,0,10,0.4943502824858757,0.4867778434723448,0.4943502824858757
19,32,16,0.01,0,10,0.49185667752442996,0.4596046217728832,0.49185667752442996
20,32,16,0.01,0,10,0.5503875968992248,0.5476694274832234,0.5503875968992248
0,32,16,0.01,0,11,0.4594882729211087,0.3356337286381055,0.4594882729211087
1,32,16,0.01,0,11,0.5319829424307037,0.5317908362071808,0.5319829424307037
2,32,16,0.01,0,11,0.5063965884861408,0.4773857615435805,0.5063965884861408
3,32,16,0.01,0,11,0.523454157782516,0.39888604546138795,0.523454157782516
4,32,16,0.01,0,11,0.5479744136460555,0.41592650030546546,0.5479744136460555
5,32,16,0.01,0,11,0.5176093916755603,0.499759047529056,0.5176093916755603
6,32,16,0.01,0,11,0.5364806866952789,0.4393048128342246,0.5364806866952789
7,32,16,0.01,0,11,0.5691144708423326,0.48985365570775874,0.5691144708423326
8,32,16,0.01,0,11,0.525,0.4834243246958996,0.525
9,32,16,0.01,0,11,0.5348837209302325,0.43543008895928353,0.5348837209302325
10,32,16,0.01,0,11,0.5022573363431151,0.5010821723124778,0.5022573363431151
11,32,16,0.01,0,11,0.5149425287356322,0.5061632079887658,0.5149425287356322
12,32,16,0.01,0,11,0.4678362573099415,0.37200247308582024,0.4678362573099415
13,32,16,0.01,0,11,0.524,0.4839240660037508,0.524
14,32,16,0.01,0,11,0.48952095808383234,0.4627932918733182,0.48952095808383234
15,32,16,0.01,0,11,0.46959459459459457,0.42779747832939324,0.46959459459459457
16,32,16,0.01,0,11,0.5535714285714286,0.5082543027748507,0.5535714285714286
17,32,16,0.01,0,11,0.5526315789473685,0.43457534920393803,0.5526315789473685
18,32,16,0.01,0,11,0.556497175141243,0.525116418165506,0.556497175141243
19,32,16,0.01,0,11,0.5407166123778502,0.3694445658348993,0.5407166123778502
20,32,16,0.01,0,11,0.5155038759689923,0.43184821098250625,0.5155038759689923
0,32,16,0.01,0,12,0.5255863539445629,0.3692378599330568,0.5255863539445629
1,32,16,0.01,0,12,0.5330490405117271,0.35180522160586153,0.5330490405117271
2,32,16,0.01,0,12,0.535181236673774,0.4609905896618077,0.535181236673774
3,32,16,0.01,0,12,0.5223880597014925,0.5195573136990373,0.5223880597014925
4,32,16,0.01,0,12,0.5053304904051172,0.49594422439950897,0.5053304904051172
5,32,16,0.01,0,12,0.5432230522945571,0.4789899808763615,0.5432230522945571
6,32,16,0.01,0,12,0.5,0.49344754067003505,0.5
7,32,16,0.01,0,12,0.5421166306695464,0.5162822787305341,0.5421166306695464
8,32,16,0.01,0,12,0.46195652173913043,0.3261629016721636,0.46195652173913043
9,32,16,0.01,0,12,0.5725359911406424,0.5701696838159127,0.5725359911406424
10,32,16,0.01,0,12,0.5417607223476298,0.4806145138467758,0.5417607223476298
11,32,16,0.01,0,12,0.5540229885057472,0.46064270375294,0.5540229885057472
12,32,16,0.01,0,12,0.4783625730994152,0.369702479338843,0.4783625730994152
13,32,16,0.01,0,12,0.5466666666666666,0.4616800648517192,0.5466666666666666
14,32,16,0.01,0,12,0.5538922155688623,0.3654885760913913,0.5538922155688623
15,32,16,0.01,0,12,0.4577702702702703,0.4569505765356423,0.4577702702702703
16,32,16,0.01,0,12,0.5257936507936508,0.45195208175039014,0.5257936507936508
17,32,16,0.01,0,12,0.5334928229665071,0.49082663368377655,0.5334928229665071
18,32,16,0.01,0,12,0.4661016949152542,0.39808375691601816,0.4661016949152542
19,32,16,0.01,0,12,0.5342019543973942,0.4882438654776476,0.5342019543973942
20,32,16,0.01,0,12,0.5542635658914729,0.39294117647058824,0.5542635658914729
0,32,16,0.01,0,13,0.5266524520255863,0.36797057109557113,0.5266524520255863
1,32,16,0.01,0,13,0.5415778251599147,0.3656261009612965,0.5415778251599147
2,32,16,0.01,0,13,0.5394456289978679,0.5377982178787009,0.5394456289978679
