Index,Epochs,Batch Size,Learning Rate,Momentum,Hidden Layer Index,Accuracy,Macro F1,Micro F1
7,32,16,0.01,0,4,0.5377969762419006,0.4499844568789413,0.5377969762419006
8,32,16,0.01,0,4,0.5402173913043479,0.5253168030972237,0.5402173913043479
9,32,16,0.01,0,4,0.5370985603543743,0.436844272567766,0.5370985603543743
10,32,16,0.01,0,4,0.5620767494356659,0.5103382655415838,0.5620767494356659
11,32,16,0.01,0,4,0.5172413793103449,0.5149342891278375,0.5172413793103449
12,32,16,0.01,0,4,0.5321637426900585,0.5321118991331757,0.5321637426900585
13,32,16,0.01,0,4,0.48,0.4401913875598086,0.48
14,32,16,0.01,0,4,0.5224550898203593,0.5178903119690316,0.5224550898203593
15,32,16,0.01,0,4,0.5067567567567568,0.4540125328481908,0.5067567567567568
16,32,16,0.01,0,4,0.5317460317460317,0.5109210526315789,0.5317460317460317
17,32,16,0.01,0,4,0.5119617224880383,0.3848684210526316,0.5119617224880383
18,32,16,0.01,0,4,0.519774011299435,0.3758297378028543,0.519774011299435
19,32,16,0.01,0,4,0.4820846905537459,0.4691065310783621,0.4820846905537459
20,32,16,0.01,0,4,0.5387596899224806,0.45528094672036623,0.5387596899224806
0,32,16,0.01,0,5,0.5458422174840085,0.4250069070313579,0.5458422174840085
1,32,16,0.01,0,5,0.47121535181236673,0.4321590376503671,0.47121535181236673
2,32,16,0.01,0,5,0.5266524520255863,0.4490673863005,0.5266524520255863
3,32,16,0.01,0,5,0.5287846481876333,0.5249751371467068,0.5287846481876333
4,32,16,0.01,0,5,0.488272921108742,0.48823569528745825,0.488272921108742
5,32,16,0.01,0,5,0.528281750266809,0.4892586892394511,0.528281750266809
6,32,16,0.01,0,5,0.5740343347639485,0.5251628866191065,0.5740343347639485
7,32,16,0.01,0,5,0.5399568034557235,0.5398516237402016,0.5399568034557235
8,32,16,0.01,0,5,0.5445652173913044,0.4749480709640072,0.5445652173913044
9,32,16,0.01,0,5,0.5282392026578073,0.5263519503546099,0.5282392026578073
10,32,16,0.01,0,5,0.5191873589164786,0.5139466242215388,0.5191873589164786
11,32,16,0.01,0,5,0.5241379310344828,0.5215487696664736,0.5241379310344828
12,32,16,0.01,0,5,0.5286549707602339,0.48833945873705314,0.5286549707602339
13,32,16,0.01,0,5,0.5253333333333333,0.49833152958152954,0.5253333333333333
14,32,16,0.01,0,5,0.5464071856287425,0.5458688116312724,0.5464071856287425
15,32,16,0.01,0,5,0.5033783783783784,0.5024186078424646,0.5033783783783784
16,32,16,0.01,0,5,0.48214285714285715,0.46623817697111347,0.48214285714285715
17,32,16,0.01,0,5,0.5406698564593302,0.47483313702394975,0.5406698564593302
18,32,16,0.01,0,5,0.5084745762711864,0.45802977510294585,0.5084745762711864
19,32,16,0.01,0,5,0.4723127035830619,0.4307005494505495,0.4723127035830619
20,32,16,0.01,0,5,0.46124031007751937,0.42472609441922393,0.46124031007751937
0,32,16,0.01,0,6,0.5277185501066098,0.4296213022787201,0.5277185501066098
1,32,16,0.01,0,6,0.5,0.4874107907507851,0.5
2,32,16,0.01,0,6,0.5309168443496801,0.5121443802985385,0.5309168443496801
3,32,16,0.01,0,6,0.5533049040511727,0.5532922112389025,0.5533049040511727
4,32,16,0.01,0,6,0.5490405117270789,0.530375499334221,0.5490405117270789
5,32,16,0.01,0,6,0.49306296691568835,0.4843207795292468,0.49306296691568835
6,32,16,0.01,0,6,0.5354077253218884,0.5352530993222662,0.5354077253218884
7,32,16,0.01,0,6,0.5129589632829373,0.46951353507331206,0.5129589632829373
8,32,16,0.01,0,6,0.5043478260869565,0.49842180774748923,0.5043478260869565
9,32,16,0.01,0,6,0.5382059800664452,0.5168142546794661,0.5382059800664452
10,32,16,0.01,0,6,0.518058690744921,0.49755031841212294,0.518058690744921
11,32,16,0.01,0,6,0.49195402298850577,0.48740029006526464,0.49195402298850577
12,32,16,0.01,0,6,0.4888888888888889,0.4547297326879043,0.4888888888888889
13,32,16,0.01,0,6,0.5293333333333333,0.5248316943990265,0.5293333333333333
14,32,16,0.01,0,6,0.5434131736526946,0.4884285007645701,0.5434131736526946
15,32,16,0.01,0,6,0.4797297297297297,0.4765694076038904,0.4797297297297297
16,32,16,0.01,0,6,0.5416666666666666,0.5136334203655353,0.5416666666666666
17,32,16,0.01,0,6,0.4665071770334928,0.466357521110634,0.4665071770334928
18,32,16,0.01,0,6,0.5310734463276836,0.4349615384615385,0.5310734463276836
19,32,16,0.01,0,6,0.4755700325732899,0.4238270093839249,0.4755700325732899
20,32,16,0.01,0,6,0.4496124031007752,0.4058770108977685,0.4496124031007752
0,32,16,0.01,0,7,0.523454157782516,0.5023872679045093,0.523454157782516
1,32,16,0.01,0,7,0.5362473347547975,0.42737694772251716,0.5362473347547975
2,32,16,0.01,0,7,0.5213219616204691,0.44940601864501395,0.5213219616204691
3,32,16,0.01,0,7,0.5341151385927505,0.533537789258667,0.5341151385927505
4,32,16,0.01,0,7,0.5266524520255863,0.48919698575297305,0.5266524520255863
5,32,16,0.01,0,7,0.5058697972251868,0.49677007005044704,0.5058697972251868
6,32,16,0.01,0,7,0.5150214592274678,0.510249255952381,0.5150214592274678
7,32,16,0.01,0,7,0.5637149028077754,0.5625394657449028,0.5637149028077754
